,w,j,k,ret,vol,sharpe
2,0.05,0.3,0.65,1.054595223,0.585333119,1.801700925
3,0.05,0.4,0.55,1.034940278,0.575203827,1.799258332
12,0.15,0.3,0.55,1.034403175,0.576916082,1.792987243
4,0.05,0.5,0.45,1.012101747,0.56498709,1.791371459
11,0.15,0.2,0.65,1.05412765,0.588486952,1.791250675
13,0.15,0.4,0.45,1.011466443,0.565840761,1.787546096
21,0.25,0.3,0.45,1.010821711,0.56771127,1.780520775
20,0.25,0.15,0.6,1.044031938,0.586798376,1.779200455
5,0.05,0.6,0.35,0.984723506,0.553537065,1.778965798
14,0.15,0.5,0.35,0.983950414,0.553862466,1.776524814
29,0.3,0.2,0.5,1.022494612,0.575783279,1.775832417
22,0.25,0.4,0.35,0.983159434,0.554937789,1.77165703
28,0.3,0.1,0.6,1.043779466,0.590047897,1.768974132
23,0.2,0.5,0.3,0.967298796,0.547296826,1.767411668
30,0.35,0.25,0.4,0.996977216,0.564258665,1.766879763
6,0.05,0.7,0.25,0.950360467,0.53914788,1.762708345
15,0.15,0.6,0.25,0.949358715,0.539133003,1.760898905
36,0.4,0.2,0.4,0.996617561,0.566423425,1.759492134
35,0.4,0.1,0.5,1.021898962,0.581853402,1.756282524
1,0.05,0.2,0.75,1.046752935,0.596350616,1.75526428
37,0.4,0.3,0.3,0.965514446,0.551028313,1.752204785
31,0.35,0.4,0.25,0.947322357,0.541183985,1.750462657
24,0.2,0.6,0.2,0.927487489,0.529961536,1.750103408
42,0.45,0.2,0.35,0.981576741,0.561258135,1.748886439
41,0.45,0.1,0.45,1.009529426,0.57763876,1.747682974
7,0.05,0.8,0.15,0.904022463,0.51888247,1.742248996
16,0.15,0.7,0.15,0.90259634,0.518447734,1.740959177
43,0.45,0.3,0.25,0.946284697,0.544047084,1.739343386
34,0.4,0,0.6,1.043274116,0.600180483,1.738267314
32,0.35,0.5,0.15,0.899684318,0.519558743,1.731631564
38,0.45,0.35,0.2,0.92446513,0.533923192,1.731457151
40,0.45,0,0.55,1.032768944,0.596502905,1.731372866
10,0.15,0.05,0.8,1.054765567,0.609940373,1.729292919
0,0.05,0.1,0.85,1.053508836,0.609615934,1.728151738
25,0.2,0.7,0.1,0.870081989,0.503925833,1.726607234
19,0.2,0.1,0.7,1.030056332,0.598192798,1.721947063
44,0.45,0.4,0.15,0.898187397,0.521722887,1.721579444
18,0.2,0,0.8,1.054533761,0.615391128,1.713599227
47,0.6,0.1,0.3,0.963709417,0.563805235,1.709294906
17,0.15,0.8,0.05,0.828662765,0.485894254,1.705438494
8,0.05,0.9,0.05,0.831205446,0.487579642,1.704758311
48,0.6,0.2,0.2,0.922627828,0.541749995,1.703050922
9,0.1,0,0.9,1.061076901,0.62322362,1.702562079
46,0.6,0,0.4,0.995192975,0.585931897,1.69847892
33,0.35,0.6,0.05,0.823406274,0.485016918,1.697685676
27,0.3,0,0.7,1.029503512,0.607889771,1.693569396
39,0.45,0.5,0.05,0.820679248,0.486440337,1.68711183
45,0.45,0.5,0.05,0.820679248,0.486440337,1.68711183
49,0.6,0.3,0.1,0.86243704,0.512806727,1.681797441
51,0.7,0.1,0.2,0.921387539,0.55233101,1.66817999
50,0.7,0,0.3,0.962810188,0.579199847,1.662310846
52,0.7,0.2,0.1,0.860455885,0.521281741,1.650654181
26,0.2,0.8,0,0.762902769,0.468152566,1.629602879
53,0.8,0,0.2,0.920141303,0.572331744,1.607706219
54,0.8,0.1,0.1,0.858431037,0.536238882,1.60083699
55,0.9,0,0.1,0.856395406,0.564747969,1.516420516
